Station;Latitude;Longitude;Entry Weekday;Entry Saturday;Entry Sunday;Exit Weekday;Exit Saturday;Exit Sunday;Annual Entry+Exit (million);Annual Entry;Annual Exit;
Westbourne Park;51,520989;-0,200868;5637;2443;1697;4660;2091;1566;3,03;1,56;1,47;
Westminster;51,501402;-0,124988;30455;28860;21300;30719;27225;19091;20,78;10,00;10,77;
White City;51,512232;-0,224618;12917;7414;4577;12614;6909;4476;7,74;3,72;4,02;
Whitechapel;51,519588;-0,059406;20752;11160;8006;20952;10918;7646;12,62;6,07;6,55;
Willesden Green;51,549373;-0,222393;12661;9314;6289;11744;8043;6158;7,81;3,85;3,96;
Willesden Junction;51,532234;-0,243895;6318;4333;2356;6340;3980;2462;3,92;1,84;2,08;
Wimbledon;51,421108;-0,206648;19659;12997;8862;17574;11766;8785;11,75;5,82;5,93;
Wimbledon Park;51,434581;-0,199172;3358;2296;1295;3079;1904;1247;2,00;0,98;1,02;
Wood Green;51,597454;-0,109512;17799;14524;10077;16736;13337;9611;11,35;5,53;5,82;
Wood Lane;51,509658;-0,224458;5246;3288;2194;5766;4230;2228;3,44;1,54;1,90;
Woodford;51,607202;0,034071;8718;5977;3422;6893;4869;3037;4,89;2,47;2,42;
Woodside Park;51,617868;-0,185411;4466;2517;1616;4304;2583;1802;2,69;1,28;1,40;
