10.47;Vauxhall;-0.1253;51.4861;271;10.4;
8.55;Marble Arch;-0.1586;51.5136;162;8.33;
25.42;Stratford;-0.0042;51.5416;246;23.15;
4.02;White City;-0.2239;51.512;295;3.72;
2.9;Belsize Park;-0.1642;51.5504;22;2.85;
1.04;Royal Oak;-0.188;51.519;217;1.01;
0.82;Goldhawk Road;-0.2267;51.5018;101;0.78;
7.67;Russell Square;-0.1244;51.523;222;7.06;
3.65;Uxbridge;-0.4786;51.5463;270;3.26;
3.28;Blackhorse Road;-0.0417;51.5867;26;3.19;
1.49;Hatton Cross;-0.4227;51.4669;116;1.44;
1.59;Kew Gardens;-0.285;51.477;141;1.54;
