 [  0.00080554   0.00087525]
 [  2.11408407   2.29703683]
 [  0.04243771   0.04611027]
 [  0.06240015   0.06780026]
 [ 20.29585401  22.05225634]
 [  0.00002229   0.00002422]
 [ 13.17846033  14.31892406]
 [  0.00007958   0.00008647]
 [  0.           0.        ]
 [ 83.38146427  90.59729061]
 [  0.02656535   0.02886432]
 [  0.00001135   0.00001233]
 [  0.20689679   0.22480165]
 [  0.14825349   0.16108335]
 [  0.00097124   0.00105529]
 [  0.0009902    0.00107589]
 [  0.0000005    0.00000054]
 [  0.14313565   0.15552262]
 [  0.0000021    0.00000228]
 [  0.00000076   0.00000082]
 [  0.00000076   0.00000082]
 [  0.00347718   0.00377809]
 [  0.           0.        ]
 [  0.00002336   0.00002538]
 [  1.31337968   1.42703957]
 [  3.51244409   3.81641073]
 [  0.04246334   0.04613812]
 [  0.00002457   0.0000267 ]
 [ 20.67976679  22.46939255]
 [  0.41636936   0.45240198]
 [  1.08057151   1.17408409]
 [  0.00000062   0.00000067]
 [  0.00002218   0.0000241 ]
 [  0.00007742   0.00008412]
 [  0.00000642   0.00000698]
 [ 24.11836991  26.20557207]
 [  0.00008637   0.00009385]
 [  0.           0.        ]
 [ 12.74933926  13.85266335]
 [  0.01208446   0.01313026]
 [  0.36921931   0.40117156]
 [  1.80930078   1.96587762]
 [  0.00000189   0.00000205]
 [  0.00755746   0.00821148]
 [  1.36388638   1.48191714]
 [  0.14748008   0.16024302]
 [  1.58980048   1.72738187]
 [ 11.98514154  13.02233474]
 [  7.77843028   8.45157515]
 [  0.1488618    0.16174431]
 [ 11.70434634  12.71723711]
 [  5.04500917   5.4816041 ]
 [  0.04704571   0.05111705]
 [ 44.17590992  47.9988904 ]
 [  0.           0.        ]
 [  0.11013345   0.11966427]
 [  0.03434157   0.03731344]
 [  0.           0.        ]
 [ 10.48913095  11.39685475]
 [ 10.62177556  11.54097956]
 [  0.00007247   0.00007874]
 [  0.51521242   0.55979893]
 [  0.36949233   0.40146817]
 [  0.8094618    0.87951245]
 [ 17.34895655  18.85033457]
 [ 12.74963112  13.85298407]
