 [  0.     0.  ]
 [ 10.    10.77]
 [  0.79   0.83]
 [  2.     2.25]
 [  0.68   0.69]
 [  1.65   1.77]
 [  4.14   4.09]
 [  0.5    0.57]
 [  0.     0.  ]
 [  2.39   2.24]
 [  0.79   0.85]
 [  6.07   6.55]
 [  3.72   4.02]
 [  3.85   3.96]
 [  1.84   2.08]
 [  5.82   5.93]
 [  0.98   1.02]
 [  2.47   2.42]
 [  1.28   1.4 ]
 [  5.53   5.82]]
