 [  2.62   2.64]
 [  2.32   2.59]
 [  5.26   5.8 ]
 [  1.6    1.73]
 [  1.08   1.2 ]
 [ 14.55  16.06]
 [  0.47   0.49]
 [  0.     0.  ]
 [  0.86   0.9 ]
 [  1.83   1.92]
 [  1.92   2.48]
 [  1.24   1.28]
 [  1.45   1.57]
 [  2.24   2.14]
 [  4.31   4.02]
 [  1.23   1.36]
 [ 23.15  25.42]
 [  6.45   7.05]
 [  3.23   3.52]
 [  8.3    8.78]
 [  0.97   1.04]
 [  1.05   1.01]
 [  0.     0.  ]
 [  3.4    3.51]
 [  4.75   5.25]
 [  0.35   0.39]
 [  3.26   3.3 ]
 [  6.24   6.8 ]
 [ 11.27  12.72]
 [  4.21   4.65]
 [  0.96   1.02]
 [  0.     0.  ]
 [ 10.31  11.27]
 [  1.81   1.74]
 [  2.76   3.07]
 [  4.73   5.07]
 [  2.07   2.49]
 [  0.48   0.51]
 [  1.04   1.07]
 [  5.23   5.79]
 [  3.26   3.65]
 [ 10.4   10.47]
 [ 39.06  43.19]
 [  6.89   7.42]
 [  1.23   1.35]
 [  0.     0.  ]
 [  7.58   8.11]
 [  2.13   2.18]
 [ 39.39  44.74]
 [  0.75   0.82]
 [  2.22   2.34]
 [  4.75   4.91]
 [  1.56   1.47]
